secid,date,return
108105,19980826,-0.007924
108105,19980827,-0.03837
108105,19980828,-0.014819
108105,19980831,-0.068014
108105,19980901,0.03863
108105,19980902,-0.003812
108105,19980903,-0.008289
108105,19980904,-0.008521
108105,19980908,0.050899
108105,19980909,-0.016864
108105,19980910,-0.02585
108105,19980911,0.029453
108105,19980914,0.020474
108105,19980915,0.00773
108105,19980916,0.007517
108105,19980917,-0.025452
108105,19980918,0.001197
108105,19980921,0.003725
108105,19980922,0.005606
108105,19980923,0.035411
108105,19980924,-0.021921
108105,19980925,0.001947
108105,19980928,0.003771
108105,19980929,0.000315
108105,19980930,-0.030514
108105,19981001,-0.030108
108105,19981002,0.016434
108105,19981005,-0.014004
108105,19981006,-0.004016
108105,19981007,-0.014128
108105,19981008,-0.01158
108105,19981009,0.026005
108105,19981012,0.013531
108105,19981013,-0.002917
108105,19981014,0.010786
108105,19981015,0.041729
108105,19981016,0.008525
108105,19981019,0.005651
108105,19981020,0.00145
108105,19981021,0.00563
108105,19981022,0.008001
108105,19981023,-0.007242
108105,19981026,0.001541
108105,19981027,-0.006509
108105,19981028,0.002581
108105,19981029,0.016703
108105,19981030,0.011732
108105,19981102,0.011769
108105,19981103,-0.000684
108105,19981104,0.007049
108105,19981105,0.01357
108105,19981106,0.006315
108105,19981109,-0.009474
108105,19981110,-0.001716
108105,19981111,-0.006461
108105,19981112,-0.002926
108105,19981113,0.007184
108105,19981116,0.009016
108105,19981117,0.003037
108105,19981118,0.004529
108105,19981119,0.007104
108105,19981120,0.009492
108105,19981123,0.021194
108105,19981124,-0.004393
108105,19981125,0.00328
108105,19981127,0.0046
108105,19981130,-0.02407
108105,19981201,0.010012
108105,19981202,-0.003429
108105,19981203,-0.018023
108105,19981204,0.023128
108105,19981207,0.009314
108105,19981208,-0.005321
108105,19981209,0.001786
108105,19981210,-0.015606
108105,19981211,0.001236
108105,19981214,-0.021655
108105,19981215,0.018954
108105,19981216,-0.000765
108105,19981217,0.015526
108105,19981218,0.006822
108105,19981221,0.012466
108105,19981222,0.000607
108105,19981223,0.020747
108105,19981224,-0.001848
108105,19981228,-0.000636
108105,19981229,0.013317
108105,19981230,-0.007956
108105,19981231,-0.002192
108105,19990104,-0.000919
108105,19990105,0.013582
108105,19990106,0.02214
108105,19990107,-0.002051
108105,19990108,0.004221
108105,19990111,-0.008792
108105,19990112,-0.019282
108105,19990113,-0.004123
108105,19990114,-0.017993
108105,19990115,0.025631
108105,19990119,0.00703
108105,19990120,0.00369
108105,19990121,-0.017078
108105,19990122,-0.008072
108105,19990125,0.007174
108105,19990126,0.014854
108105,19990127,-0.007299
108105,19990128,0.017858
108105,19990129,0.011277
108105,19990201,-0.005189
108105,19990202,-0.008649
108105,19990203,0.007987
108105,19990204,-0.018537
108105,19990205,-0.007281
108105,19990208,0.003526
108105,19990209,-0.022215
108105,19990210,0.006093
108105,19990211,0.024919
108105,19990212,-0.019066
108105,19990216,0.009544
108105,19990217,-0.014365
108105,19990218,0.010825
108105,19990219,0.001568
108105,19990222,0.026565
108105,19990223,-0.000755
108105,19990224,-0.013979
108105,19990225,-0.006694
108105,19990226,-0.005373
108105,19990301,-0.001752
108105,19990302,-0.008624
108105,19990303,0.001795
108105,19990304,0.015427
108105,19990305,0.023126
108105,19990308,0.005692
108105,19990309,-0.002253
108105,19990310,0.005469
108105,19990311,0.008424
108105,19990312,-0.002381
108105,19990315,0.009787
108105,19990316,-0.000673
108105,19990317,-0.006553
108105,19990318,0.014432
108105,19990319,-0.01311
108105,19990322,-0.001755
108105,19990323,-0.026885
108105,19990324,0.00511
108105,19990325,0.016869
108105,19990326,-0.005574
108105,19990329,0.021336
108105,19990330,-0.00719
108105,19990331,-0.011055
108105,19990401,0.005714
108105,19990405,0.021179
108105,19990406,-0.002445
108105,19990407,0.006829
108105,19990408,0.01288
108105,19990409,0.003252
108105,19990412,0.007632
108105,19990413,-0.006492
108105,19990414,-0.015839
108105,19990415,-0.0042
108105,19990416,-0.002918
108105,19990419,-0.022381
108105,19990420,0.012943
108105,19990421,0.02293
108105,19990422,0.016989
108105,19990423,-0.00145
108105,19990426,0.002351
108105,19990427,0.002029
108105,19990428,-0.008725
108105,19990429,-0.005981
108105,19990430,-0.005697
108105,19990503,0.014567
108105,19990504,-0.016706
108105,19990505,0.011494
108105,19990506,-0.011326
108105,19990507,0.009722
108105,19990510,-0.003494
108105,19990511,0.011423
108105,19990512,0.006189
108105,19990513,0.00261
108105,19990514,-0.021761
108105,19990517,0.001263
108105,19990518,-0.004606
108105,19990519,0.008183
108105,19990520,-0.004017
108105,19990521,-0.006379
108105,19990524,-0.017771
108105,19990525,-0.017028
108105,19990526,0.015852
108105,19990527,-0.017896
108105,19990528,0.015943
108105,19990601,-0.005822
108105,19990602,0.000425
108105,19990603,0.003653
108105,19990604,0.021708
108105,19990607,0.005099
108105,19990608,-0.012881
108105,19990609,0.000994
108105,19990610,-0.011997
108105,19990611,-0.007046
108105,19990614,0.000278
108105,19990615,0.005533
108105,19990616,0.02248
108105,19990617,0.007133
108105,19990618,0.002194
108105,19990621,0.004587
108105,19990622,-0.009726
108105,19990623,-0.002111
108105,19990624,-0.012963
108105,19990625,-0.000357
108105,19990628,0.012195
108105,19990629,0.015097
108105,19990630,0.015731
108105,19990701,0.00601
108105,19990702,0.00743
108105,19990706,-0.002228
108105,19990707,0.005576
108105,19990708,-0.001032
108105,19990709,0.006354
108105,19990712,-0.002979
108105,19990713,-0.00396
108105,19990714,0.003308
108105,19990715,0.008189
108105,19990716,0.006498
108105,19990719,-0.007845
108105,19990720,-0.021703
108105,19990721,0.00159
108105,19990722,-0.013282
108105,19990723,-0.002961
108105,19990726,-0.006765
108105,19990727,0.011189
108105,19990728,0.001878
108105,19990729,-0.017848
108105,19990730,-0.00918
108105,19990802,-0.000504
108105,19990803,-0.00442
108105,19990804,-0.012744
108105,19990805,0.00642
108105,19990806,-0.010215
108105,19990809,-0.001915
108105,19990810,-0.012614
108105,19990811,0.015998
108105,19990812,-0.002896
108105,19990813,0.02274
108105,19990816,0.002327
108105,19990817,0.010062
108105,19990818,-0.008422
108105,19990819,-0.00694
108105,19990820,0.009837
108105,19990823,0.017664
108105,19990824,0.002411
108105,19990825,0.013414
108105,19990826,-0.014315
108105,19990827,-0.010088
108105,19990830,-0.017986
108105,19990831,-0.002727
108105,19990901,0.008073
108105,19990902,-0.008985
108105,19990903,0.028906
108105,19990907,-0.005003
108105,19990908,-0.004665
108105,19990909,0.002611
108105,19990910,0.002968
108105,19990913,-0.005571
108105,19990914,-0.005833
108105,19990915,-0.01371
108105,19990916,0.000387
108105,19990917,0.012848
108105,19990920,0.000082
108105,19990921,-0.020928
108105,19990922,0.002241
108105,19990923,-0.022968
108105,19990924,-0.002382
108105,19990927,0.004658
108105,19990928,-0.000865
108105,19990929,-0.010786
108105,19990930,0.011306
108105,19991001,0.000078
108105,19991004,0.016986
108105,19991005,-0.002491
108105,19991006,0.018481
108105,19991007,-0.005855
108105,19991008,0.013949
108105,19991011,-0.000606
108105,19991012,-0.016604
108105,19991013,-0.020936
108105,19991014,-0.001657
108105,19991015,-0.028058
108105,19991018,0.005387
108105,19991019,0.005733
108105,19991020,0.022286
108105,19991021,-0.004514
108105,19991022,0.014054
108105,19991025,-0.006161
108105,19991026,-0.00906
108105,19991027,0.011545
108105,19991028,0.035266
108105,19991029,0.015263
108105,19991101,-0.006464
108105,19991102,-0.004712
108105,19991103,0.005335
108105,19991104,0.00569
108105,19991105,0.00557
108105,19991108,0.004948
108105,19991109,-0.008518
108105,19991110,0.005991
108105,19991111,0.005825
108105,19991112,0.010569
108105,19991115,-0.001196
108105,19991116,0.018417
108105,19991117,-0.006591
108105,19991118,0.010087
108105,19991119,-0.002063
108105,19991122,-0.000745
108105,19991123,-0.011471
108105,19991124,0.008856
108105,19991126,-0.000325
108105,19991129,-0.006205
108105,19991130,-0.013439
108105,19991201,0.006343
108105,19991202,0.008099
108105,19991203,0.017217
108105,19991206,-0.006956
108105,19991207,-0.009948
108105,19991208,-0.003754
108105,19991209,0.003013
108105,19991210,0.006342
108105,19991213,-0.001284
108105,19991214,-0.008515
108105,19991215,0.007234
108105,19991216,0.003863
108105,19991217,0.001586
108105,19991220,-0.002069
108105,19991221,0.010817
108105,19991222,0.001884
108105,19991223,0.015465
108105,19991227,-0.00085
108105,19991228,0.000384
108105,19991229,0.003979
108105,19991230,0.00069
108105,19991231,0.003264
108105,20000103,-0.009549
108105,20000104,-0.038345
108105,20000105,0.001922
108105,20000106,0.000956
108105,20000107,0.02709
108105,20000110,0.01119
108105,20000111,-0.013063
108105,20000112,-0.004386
108105,20000113,0.01217
108105,20000114,0.010671
108105,20000118,-0.006832
108105,20000119,0.000522
108105,20000120,-0.007095
108105,20000121,-0.002912
108105,20000124,-0.027634
108105,20000125,0.006065
108105,20000126,-0.004213
108105,20000127,-0.003938
108105,20000128,-0.027457
108105,20000131,0.025218
108105,20000201,0.010628
108105,20000202,-0.000114
108105,20000203,0.011248
108105,20000204,-0.000421
108105,20000207,-0.000091
108105,20000208,0.012294
108105,20000209,-0.020843
108105,20000210,0.003634
108105,20000211,-0.020969
108105,20000214,0.002033
108105,20000215,0.008713
108105,20000216,-0.010256
108105,20000217,0.000425
108105,20000218,-0.030376
108105,20000222,0.004517
108105,20000223,0.006301
108105,20000224,-0.005335
108105,20000225,-0.014829
108105,20000228,0.011017
108105,20000229,0.013627
108105,20000301,0.009346
108105,20000302,0.001863
108105,20000303,0.019837
108105,20000306,-0.012695
108105,20000307,-0.025631
