secid,date,close
108105,19990707,1395.86
108105,19990708,1394.42
108105,19990709,1403.28
108105,19990712,1399.1
108105,19990713,1393.56
108105,19990714,1398.17
108105,19990715,1409.62
108105,19990716,1418.78
108105,19990719,1407.65
108105,19990720,1377.1
108105,19990721,1379.29
108105,19990722,1360.97
108105,19990723,1356.94
108105,19990726,1347.76
108105,19990727,1362.84
108105,19990728,1365.4
108105,19990729,1341.03
108105,19990730,1328.72
108105,19990802,1328.05
108105,19990803,1322.18
108105,19990804,1305.33
108105,19990805,1313.71
108105,19990806,1300.29
108105,19990809,1297.8
108105,19990810,1281.43
108105,19990811,1301.93
108105,19990812,1298.16
108105,19990813,1327.68
108105,19990816,1330.77
108105,19990817,1344.16
108105,19990818,1332.84
108105,19990819,1323.59
108105,19990820,1336.61
108105,19990823,1360.22
108105,19990824,1363.5
108105,19990825,1381.79
108105,19990826,1362.01
108105,19990827,1348.27
108105,19990830,1324.02
108105,19990831,1320.41
108105,19990901,1331.07
108105,19990902,1319.11
108105,19990903,1357.24
108105,19990907,1350.45
108105,19990908,1344.15
108105,19990909,1347.66
108105,19990910,1351.66
108105,19990913,1344.13
108105,19990914,1336.29
108105,19990915,1317.97
108105,19990916,1318.48
108105,19990917,1335.42
108105,19990920,1335.53
108105,19990921,1307.58
108105,19990922,1310.51
108105,19990923,1280.41
108105,19990924,1277.36
108105,19990927,1283.31
108105,19990928,1282.2
108105,19990929,1268.37
108105,19990930,1282.71
108105,19991001,1282.81
108105,19991004,1304.6
108105,19991005,1301.35
108105,19991006,1325.4
108105,19991007,1317.64
108105,19991008,1336.02
108105,19991011,1335.21
108105,19991012,1313.04
108105,19991013,1285.55
108105,19991014,1283.42
108105,19991015,1247.41
108105,19991018,1254.13
108105,19991019,1261.32
108105,19991020,1289.43
108105,19991021,1283.61
108105,19991022,1301.65
108105,19991025,1293.63
108105,19991026,1281.91
108105,19991027,1296.71
108105,19991028,1342.44
108105,19991029,1362.93
108105,19991101,1354.12
108105,19991102,1347.74
108105,19991103,1354.93
108105,19991104,1362.64
108105,19991105,1370.23
108105,19991108,1377.01
108105,19991109,1365.28
108105,19991110,1373.46
108105,19991111,1381.46
108105,19991112,1396.06
108105,19991115,1394.39
108105,19991116,1420.07
108105,19991117,1410.71
108105,19991118,1424.94
108105,19991119,1422
108105,19991122,1420.94
108105,19991123,1404.64
108105,19991124,1417.08
108105,19991126,1416.62
108105,19991129,1407.83
108105,19991130,1388.91
108105,19991201,1397.72
108105,19991202,1409.04
108105,19991203,1433.3
108105,19991206,1423.33
108105,19991207,1409.17
108105,19991208,1403.88
108105,19991209,1408.11
108105,19991210,1417.04
108105,19991213,1415.22
108105,19991214,1403.17
108105,19991215,1413.32
108105,19991216,1418.78
108105,19991217,1421.03
108105,19991220,1418.09
108105,19991221,1433.43
108105,19991222,1436.13
108105,19991223,1458.34
108105,19991227,1457.1
108105,19991228,1457.66
108105,19991229,1463.46
108105,19991230,1464.47
108105,19991231,1469.25
108105,20000103,1455.22
108105,20000104,1399.42
108105,20000105,1402.11
108105,20000106,1403.45
108105,20000107,1441.47
108105,20000110,1457.6
108105,20000111,1438.56
108105,20000112,1432.25
108105,20000113,1449.68
108105,20000114,1465.15
108105,20000118,1455.14
108105,20000119,1455.9
108105,20000120,1445.57
108105,20000121,1441.36
108105,20000124,1401.53
108105,20000125,1410.03
108105,20000126,1404.09
108105,20000127,1398.56
108105,20000128,1360.16
108105,20000131,1394.46
108105,20000201,1409.28
108105,20000202,1409.12
108105,20000203,1424.97
108105,20000204,1424.37
108105,20000207,1424.24
108105,20000208,1441.75
108105,20000209,1411.7
108105,20000210,1416.83
108105,20000211,1387.12
108105,20000214,1389.94
108105,20000215,1402.05
108105,20000216,1387.67
108105,20000217,1388.26
108105,20000218,1346.09
108105,20000222,1352.17
108105,20000223,1360.69
108105,20000224,1353.43
108105,20000225,1333.36
108105,20000228,1348.05
108105,20000229,1366.42
108105,20000301,1379.19
108105,20000302,1381.76
108105,20000303,1409.17
108105,20000306,1391.28
108105,20000307,1355.62
108105,20000308,1366.7
108105,20000309,1401.69
108105,20000310,1395.07
108105,20000313,1383.62
108105,20000314,1359.15
108105,20000315,1392.15
108105,20000316,1458.47
108105,20000317,1464.47
108105,20000320,1456.63
108105,20000321,1493.87
108105,20000322,1500.64
108105,20000323,1527.35
108105,20000324,1527.46
108105,20000327,1523.86
108105,20000328,1507.73
108105,20000329,1508.52
108105,20000330,1487.92
108105,20000331,1498.58
108105,20000403,1505.97
108105,20000404,1494.73
108105,20000405,1487.37
108105,20000406,1501.34
108105,20000407,1516.35
108105,20000410,1504.46
108105,20000411,1500.59
108105,20000412,1467.17
108105,20000413,1440.51
108105,20000414,1356.56
108105,20000417,1401.44
108105,20000418,1441.61
108105,20000419,1427.47
108105,20000420,1434.54
108105,20000424,1429.86
108105,20000425,1477.44
108105,20000426,1460.99
108105,20000427,1464.92
108105,20000428,1452.43
108105,20000501,1468.25
108105,20000502,1446.29
108105,20000503,1415.1
108105,20000504,1409.57
108105,20000505,1432.63
108105,20000508,1424.17
108105,20000509,1412.14
108105,20000510,1383.05
108105,20000511,1407.81
108105,20000512,1420.96
108105,20000515,1452.36
108105,20000516,1466.04
108105,20000517,1447.8
108105,20000518,1437.21
108105,20000519,1406.95
108105,20000522,1400.72
108105,20000523,1373.86
108105,20000524,1399.05
108105,20000525,1381.52
108105,20000526,1378.02
108105,20000530,1422.45
108105,20000531,1420.6
108105,20000601,1448.81
108105,20000602,1477.26
108105,20000605,1467.63
108105,20000606,1457.84
108105,20000607,1471.36
108105,20000608,1461.67
108105,20000609,1456.95
108105,20000612,1446
108105,20000613,1469.44
108105,20000614,1470.54
108105,20000615,1478.73
108105,20000616,1464.46
108105,20000619,1486
108105,20000620,1475.95
108105,20000621,1479.13
108105,20000622,1452.18
108105,20000623,1441.48
108105,20000626,1455.31
108105,20000627,1450.55
108105,20000628,1454.82
108105,20000629,1442.39
108105,20000630,1454.6
108105,20000703,1469.54
108105,20000705,1446.23
108105,20000706,1456.67
108105,20000707,1478.9
108105,20000710,1475.62
108105,20000711,1480.88
108105,20000712,1492.92
108105,20000713,1495.84
108105,20000714,1509.98
108105,20000717,1510.49
108105,20000718,1493.74
108105,20000719,1481.96
108105,20000720,1495.57
108105,20000721,1480.19
108105,20000724,1464.29
108105,20000725,1474.47
108105,20000726,1452.42
108105,20000727,1449.62
108105,20000728,1419.89
108105,20000731,1430.83
108105,20000801,1438.1
108105,20000802,1438.7
108105,20000803,1452.56
108105,20000804,1462.93
108105,20000807,1479.32
108105,20000808,1482.8
108105,20000809,1472.87
108105,20000810,1460.25
108105,20000811,1471.84
108105,20000814,1491.56
108105,20000815,1484.43
108105,20000816,1479.85
108105,20000817,1496.07
108105,20000818,1491.72
108105,20000821,1499.48
108105,20000822,1498.13
108105,20000823,1505.97
108105,20000824,1508.31
108105,20000825,1506.45
108105,20000828,1514.09
108105,20000829,1509.84
108105,20000830,1502.59
108105,20000831,1517.68
108105,20000901,1520.77
108105,20000905,1507.08
108105,20000906,1492.25
108105,20000907,1502.51
108105,20000908,1494.5
108105,20000911,1489.26
108105,20000912,1481.99
108105,20000913,1484.91
108105,20000914,1480.87
108105,20000915,1465.81
108105,20000918,1444.51
108105,20000919,1459.9
108105,20000920,1451.34
108105,20000921,1449.05
108105,20000922,1448.72
108105,20000925,1439.03
108105,20000926,1427.21
108105,20000927,1426.57
108105,20000928,1458.29
108105,20000929,1436.51
108105,20001002,1436.23
108105,20001003,1426.46
108105,20001004,1434.32
108105,20001005,1436.28
108105,20001006,1408.99
108105,20001009,1402.03
108105,20001010,1387.02
108105,20001011,1364.59
108105,20001012,1329.78
108105,20001013,1374.17
108105,20001016,1374.62
108105,20001017,1349.97
108105,20001018,1342.13
108105,20001019,1388.76
108105,20001020,1396.93
108105,20001023,1395.78
108105,20001024,1398.13
108105,20001025,1364.9
108105,20001026,1364.44
108105,20001027,1379.58
108105,20001030,1398.66
108105,20001031,1429.4
108105,20001101,1421.22
108105,20001102,1428.32
108105,20001103,1426.69
108105,20001106,1432.19
108105,20001107,1431.87
108105,20001108,1409.28
108105,20001109,1400.14
108105,20001110,1365.98
108105,20001113,1351.26
108105,20001114,1382.95
108105,20001115,1389.81
108105,20001116,1372.32
108105,20001117,1367.72
108105,20001120,1342.62
108105,20001121,1347.35
108105,20001122,1322.36
108105,20001124,1341.77
108105,20001127,1348.97
108105,20001128,1336.09
108105,20001129,1341.91
108105,20001130,1314.95
108105,20001201,1315.23
108105,20001204,1324.97
108105,20001205,1376.54
108105,20001206,1351.46
108105,20001207,1343.55
108105,20001208,1369.89
108105,20001211,1380.2
108105,20001212,1371.18
108105,20001213,1359.99
108105,20001214,1340.93
108105,20001215,1312.15
108105,20001218,1322.74
108105,20001219,1305.6
108105,20001220,1264.74
108105,20001221,1274.86
108105,20001222,1305.97
108105,20001226,1315.19
108105,20001227,1328.92
108105,20001228,1334.22
108105,20001229,1320.28
